id;name;province_name;province_abbreviation;region_name;code
1;Agliè;Torino;TO;Piemonte;A074
2;Airasca;Torino;TO;Piemonte;A109
3;Ala di Stura;Torino;TO;Piemonte;A117
4;Albiano d'Ivrea;Torino;TO;Piemonte;A157
5;Almese;Torino;TO;Piemonte;A218
6;Alpette;Torino;TO;Piemonte;A221
7;Alpignano;Torino;TO;Piemonte;A222
8;Andezeno;Torino;TO;Piemonte;A275
9;Andrate;Torino;TO;Piemonte;A282
10;Angrogna;Torino;TO;Piemonte;A295
11;Arignano;Torino;TO;Piemonte;A405
12;Avigliana;Torino;TO;Piemonte;A518
13;Azeglio;Torino;TO;Piemonte;A525
14;Bairo;Torino;TO;Piemonte;A584
15;Balangero;Torino;TO;Piemonte;A587
16;Baldissero Canavese;Torino;TO;Piemonte;A590
17;Baldissero Torinese;Torino;TO;Piemonte;A591
18;Balme;Torino;TO;Piemonte;A599
19;Banchette;Torino;TO;Piemonte;A607
20;Barbania;Torino;TO;Piemonte;A625
21;Bardonecchia;Torino;TO;Piemonte;A651
22;Barone Canavese;Torino;TO;Piemonte;A673
23;Beinasco;Torino;TO;Piemonte;A734
24;Bibiana;Torino;TO;Piemonte;A853
25;Bobbio Pellice;Torino;TO;Piemonte;A910
26;Bollengo;Torino;TO;Piemonte;A941
27;Borgaro Torinese;Torino;TO;Piemonte;A990
28;Borgiallo;Torino;TO;Piemonte;B003
29;Borgofranco d'Ivrea;Torino;TO;Piemonte;B015
30;Borgomasino;Torino;TO;Piemonte;B021
31;Borgone Susa;Torino;TO;Piemonte;B024
32;Bosconero;Torino;TO;Piemonte;B075
33;Brandizzo;Torino;TO;Piemonte;B121
34;Bricherasio;Torino;TO;Piemonte;B171
35;Brosso;Torino;TO;Piemonte;B205
36;Brozolo;Torino;TO;Piemonte;B209
37;Bruino;Torino;TO;Piemonte;B216
38;Brusasco;Torino;TO;Piemonte;B225
39;Bruzolo;Torino;TO;Piemonte;B232
40;Buriasco;Torino;TO;Piemonte;B278
41;Burolo;Torino;TO;Piemonte;B279
42;Busano;Torino;TO;Piemonte;B284
43;Bussoleno;Torino;TO;Piemonte;B297
44;Buttigliera Alta;Torino;TO;Piemonte;B305
45;Cafasse;Torino;TO;Piemonte;B350
46;Caluso;Torino;TO;Piemonte;B435
47;Cambiano;Torino;TO;Piemonte;B462
48;Campiglione Fenile;Torino;TO;Piemonte;B512
49;Candia Canavese;Torino;TO;Piemonte;B588
50;Candiolo;Torino;TO;Piemonte;B592
51;Canischio;Torino;TO;Piemonte;B605
52;Cantalupa;Torino;TO;Piemonte;B628
53;Cantoira;Torino;TO;Piemonte;B637
54;Caprie;Torino;TO;Piemonte;B705
55;Caravino;Torino;TO;Piemonte;B733
56;Carema;Torino;TO;Piemonte;B762
57;Carignano;Torino;TO;Piemonte;B777
58;Carmagnola;Torino;TO;Piemonte;B791
59;Casalborgone;Torino;TO;Piemonte;B867
60;Cascinette d'Ivrea;Torino;TO;Piemonte;B953
61;Caselette;Torino;TO;Piemonte;B955
62;Caselle Torinese;Torino;TO;Piemonte;B960
63;Castagneto Po;Torino;TO;Piemonte;C045
64;Castagnole Piemonte;Torino;TO;Piemonte;C048
65;Castellamonte;Torino;TO;Piemonte;C133
66;Castelnuovo Nigra;Torino;TO;Piemonte;C241
67;Castiglione Torinese;Torino;TO;Piemonte;C307
68;Cavagnolo;Torino;TO;Piemonte;C369
69;Cavour;Torino;TO;Piemonte;C404
70;Cercenasco;Torino;TO;Piemonte;C487
71;Ceres;Torino;TO;Piemonte;C497
72;Ceresole Reale;Torino;TO;Piemonte;C505
73;Cesana Torinese;Torino;TO;Piemonte;C564
74;Chialamberto;Torino;TO;Piemonte;C604
75;Chianocco;Torino;TO;Piemonte;C610
76;Chiaverano;Torino;TO;Piemonte;C624
77;Chieri;Torino;TO;Piemonte;C627
78;Chiesanuova;Torino;TO;Piemonte;C629
79;Chiomonte;Torino;TO;Piemonte;C639
80;Chiusa di San Michele;Torino;TO;Piemonte;C655
81;Chivasso;Torino;TO;Piemonte;C665
82;Ciconio;Torino;TO;Piemonte;C679
83;Cintano;Torino;TO;Piemonte;C711
84;Cinzano;Torino;TO;Piemonte;C715
85;Ciriè;Torino;TO;Piemonte;C722
86;Claviere;Torino;TO;Piemonte;C793
87;Coassolo Torinese;Torino;TO;Piemonte;C801
88;Coazze;Torino;TO;Piemonte;C803
89;Collegno;Torino;TO;Piemonte;C860
90;Colleretto Castelnuovo;Torino;TO;Piemonte;C867
91;Colleretto Giacosa;Torino;TO;Piemonte;C868
92;Condove;Torino;TO;Piemonte;C955
93;Corio;Torino;TO;Piemonte;D008
94;Cossano Canavese;Torino;TO;Piemonte;D092
95;Cuceglio;Torino;TO;Piemonte;D197
96;Cumiana;Torino;TO;Piemonte;D202
97;Cuorgnè;Torino;TO;Piemonte;D208
98;Druento;Torino;TO;Piemonte;D373
99;Exilles;Torino;TO;Piemonte;D433
100;Favria;Torino;TO;Piemonte;D520
101;Feletto;Torino;TO;Piemonte;D524
102;Fenestrelle;Torino;TO;Piemonte;D532
103;Fiano;Torino;TO;Piemonte;D562
104;Fiorano Canavese;Torino;TO;Piemonte;D608
105;Foglizzo;Torino;TO;Piemonte;D646
106;Forno Canavese;Torino;TO;Piemonte;D725
107;Frassinetto;Torino;TO;Piemonte;D781
108;Front;Torino;TO;Piemonte;D805
109;Frossasco;Torino;TO;Piemonte;D812
110;Garzigliana;Torino;TO;Piemonte;D931
111;Gassino Torinese;Torino;TO;Piemonte;D933
112;Germagnano;Torino;TO;Piemonte;D983
113;Giaglione;Torino;TO;Piemonte;E009
114;Giaveno;Torino;TO;Piemonte;E020
115;Givoletto;Torino;TO;Piemonte;E067
116;Gravere;Torino;TO;Piemonte;E154
117;Groscavallo;Torino;TO;Piemonte;E199
118;Grosso;Torino;TO;Piemonte;E203
119;Grugliasco;Torino;TO;Piemonte;E216
120;Ingria;Torino;TO;Piemonte;E301
121;Inverso Pinasca;Torino;TO;Piemonte;E311
122;Isolabella;Torino;TO;Piemonte;E345
123;Issiglio;Torino;TO;Piemonte;E368
124;Ivrea;Torino;TO;Piemonte;E379
125;La Cassa;Torino;TO;Piemonte;E394
126;La Loggia;Torino;TO;Piemonte;E423
127;Lanzo Torinese;Torino;TO;Piemonte;E445
128;Lauriano;Torino;TO;Piemonte;E484
129;Leini;Torino;TO;Piemonte;E518
130;Lemie;Torino;TO;Piemonte;E520
131;Lessolo;Torino;TO;Piemonte;E551
132;Levone;Torino;TO;Piemonte;E566
133;Locana;Torino;TO;Piemonte;E635
134;Lombardore;Torino;TO;Piemonte;E660
135;Lombriasco;Torino;TO;Piemonte;E661
136;Loranzè;Torino;TO;Piemonte;E683
137;Luserna San Giovanni;Torino;TO;Piemonte;E758
138;Lusernetta;Torino;TO;Piemonte;E759
139;Lusigliè;Torino;TO;Piemonte;E763
140;Macello;Torino;TO;Piemonte;E782
141;Maglione;Torino;TO;Piemonte;E817
142;Marentino;Torino;TO;Piemonte;E941
143;Massello;Torino;TO;Piemonte;F041
144;Mathi;Torino;TO;Piemonte;F053
145;Mattie;Torino;TO;Piemonte;F058
146;Mazzè;Torino;TO;Piemonte;F067
147;Meana di Susa;Torino;TO;Piemonte;F074
148;Mercenasco;Torino;TO;Piemonte;F140
149;Mezzenile;Torino;TO;Piemonte;F182
150;Mombello di Torino;Torino;TO;Piemonte;F315
151;Mompantero;Torino;TO;Piemonte;F318
152;Monastero di Lanzo;Torino;TO;Piemonte;F327
153;Moncalieri;Torino;TO;Piemonte;F335
154;Moncenisio;Torino;TO;Piemonte;D553
155;Montaldo Torinese;Torino;TO;Piemonte;F407
156;Montalenghe;Torino;TO;Piemonte;F411
157;Montalto Dora;Torino;TO;Piemonte;F420
158;Montanaro;Torino;TO;Piemonte;F422
159;Monteu da Po;Torino;TO;Piemonte;F651
160;Moriondo Torinese;Torino;TO;Piemonte;F733
161;Nichelino;Torino;TO;Piemonte;F889
162;Noasca;Torino;TO;Piemonte;F906
163;Nole;Torino;TO;Piemonte;F925
164;Nomaglio;Torino;TO;Piemonte;F927
165;None;Torino;TO;Piemonte;F931
166;Novalesa;Torino;TO;Piemonte;F948
167;Oglianico;Torino;TO;Piemonte;G010
168;Orbassano;Torino;TO;Piemonte;G087
169;Orio Canavese;Torino;TO;Piemonte;G109
170;Osasco;Torino;TO;Piemonte;G151
171;Osasio;Torino;TO;Piemonte;G152
172;Oulx;Torino;TO;Piemonte;G196
173;Ozegna;Torino;TO;Piemonte;G202
174;Palazzo Canavese;Torino;TO;Piemonte;G262
175;Pancalieri;Torino;TO;Piemonte;G303
176;Parella;Torino;TO;Piemonte;G330
177;Pavarolo;Torino;TO;Piemonte;G387
178;Pavone Canavese;Torino;TO;Piemonte;G392
179;Pecetto Torinese;Torino;TO;Piemonte;G398
180;Perosa Argentina;Torino;TO;Piemonte;G463
181;Perosa Canavese;Torino;TO;Piemonte;G462
182;Perrero;Torino;TO;Piemonte;G465
183;Pertusio;Torino;TO;Piemonte;G477
184;Pessinetto;Torino;TO;Piemonte;G505
185;Pianezza;Torino;TO;Piemonte;G559
186;Pinasca;Torino;TO;Piemonte;G672
187;Pinerolo;Torino;TO;Piemonte;G674
188;Pino Torinese;Torino;TO;Piemonte;G678
189;Piobesi Torinese;Torino;TO;Piemonte;G684
190;Piossasco;Torino;TO;Piemonte;G691
191;Piscina;Torino;TO;Piemonte;G705
192;Piverone;Torino;TO;Piemonte;G719
193;Poirino;Torino;TO;Piemonte;G777
194;Pomaretto;Torino;TO;Piemonte;G805
195;Pont-Canavese;Torino;TO;Piemonte;G826
196;Porte;Torino;TO;Piemonte;G900
197;Pragelato;Torino;TO;Piemonte;G973
198;Prali;Torino;TO;Piemonte;G978
199;Pralormo;Torino;TO;Piemonte;G979
200;Pramollo;Torino;TO;Piemonte;G982
201;Prarostino;Torino;TO;Piemonte;G986
202;Prascorsano;Torino;TO;Piemonte;G988
203;Pratiglione;Torino;TO;Piemonte;G997
204;Quagliuzzo;Torino;TO;Piemonte;H100
205;Quassolo;Torino;TO;Piemonte;H120
206;Quincinetto;Torino;TO;Piemonte;H127
207;Reano;Torino;TO;Piemonte;H207
208;Ribordone;Torino;TO;Piemonte;H270
209;Rivalba;Torino;TO;Piemonte;H333
210;Rivalta di Torino;Torino;TO;Piemonte;H335
211;Riva presso Chieri;Torino;TO;Piemonte;H337
212;Rivara;Torino;TO;Piemonte;H338
213;Rivarolo Canavese;Torino;TO;Piemonte;H340
214;Rivarossa;Torino;TO;Piemonte;H344
215;Rivoli;Torino;TO;Piemonte;H355
216;Robassomero;Torino;TO;Piemonte;H367
217;Rocca Canavese;Torino;TO;Piemonte;H386
218;Roletto;Torino;TO;Piemonte;H498
219;Romano Canavese;Torino;TO;Piemonte;H511
220;Ronco Canavese;Torino;TO;Piemonte;H539
221;Rondissone;Torino;TO;Piemonte;H547
222;Rorà;Torino;TO;Piemonte;H554
223;Roure;Torino;TO;Piemonte;H555
224;Rosta;Torino;TO;Piemonte;H583
225;Rubiana;Torino;TO;Piemonte;H627
226;Rueglio;Torino;TO;Piemonte;H631
227;Salassa;Torino;TO;Piemonte;H691
228;Salbertrand;Torino;TO;Piemonte;H684
229;Salerano Canavese;Torino;TO;Piemonte;H702
230;Salza di Pinerolo;Torino;TO;Piemonte;H734
231;Samone;Torino;TO;Piemonte;H753
232;San Benigno Canavese;Torino;TO;Piemonte;H775
233;San Carlo Canavese;Torino;TO;Piemonte;H789
234;San Colombano Belmonte;Torino;TO;Piemonte;H804
235;San Didero;Torino;TO;Piemonte;H820
236;San Francesco al Campo;Torino;TO;Piemonte;H847
237;Sangano;Torino;TO;Piemonte;H855
238;San Germano Chisone;Torino;TO;Piemonte;H862
239;San Gillio;Torino;TO;Piemonte;H873
240;San Giorgio Canavese;Torino;TO;Piemonte;H890
241;San Giorio di Susa;Torino;TO;Piemonte;H900
242;San Giusto Canavese;Torino;TO;Piemonte;H936
243;San Martino Canavese;Torino;TO;Piemonte;H997
244;San Maurizio Canavese;Torino;TO;Piemonte;I024
245;San Mauro Torinese;Torino;TO;Piemonte;I030
246;San Pietro Val Lemina;Torino;TO;Piemonte;I090
247;San Ponso;Torino;TO;Piemonte;I126
248;San Raffaele Cimena;Torino;TO;Piemonte;I137
249;San Sebastiano da Po;Torino;TO;Piemonte;I152
250;San Secondo di Pinerolo;Torino;TO;Piemonte;I154
251;Sant'Ambrogio di Torino;Torino;TO;Piemonte;I258
252;Sant'Antonino di Susa;Torino;TO;Piemonte;I296
253;Santena;Torino;TO;Piemonte;I327
254;Sauze di Cesana;Torino;TO;Piemonte;I465
255;Sauze d'Oulx;Torino;TO;Piemonte;I466
256;Scalenghe;Torino;TO;Piemonte;I490
257;Scarmagno;Torino;TO;Piemonte;I511
258;Sciolze;Torino;TO;Piemonte;I539
259;Sestriere;Torino;TO;Piemonte;I692
260;Settimo Rottaro;Torino;TO;Piemonte;I701
261;Settimo Torinese;Torino;TO;Piemonte;I703
262;Settimo Vittone;Torino;TO;Piemonte;I702
263;Sparone;Torino;TO;Piemonte;I886
264;Strambinello;Torino;TO;Piemonte;I969
265;Strambino;Torino;TO;Piemonte;I970
266;Susa;Torino;TO;Piemonte;L013
267;Tavagnasco;Torino;TO;Piemonte;L066
268;Torino;Torino;TO;Piemonte;L219
269;Torrazza Piemonte;Torino;TO;Piemonte;L238
270;Torre Canavese;Torino;TO;Piemonte;L247
271;Torre Pellice;Torino;TO;Piemonte;L277
272;Trana;Torino;TO;Piemonte;L327
273;Traversella;Torino;TO;Piemonte;L345
274;Traves;Torino;TO;Piemonte;L340
275;Trofarello;Torino;TO;Piemonte;L445
276;Usseaux;Torino;TO;Piemonte;L515
277;Usseglio;Torino;TO;Piemonte;L516
278;Vaie;Torino;TO;Piemonte;L538
279;Val della Torre;Torino;TO;Piemonte;L555
280;Valgioie;Torino;TO;Piemonte;L578
281;Vallo Torinese;Torino;TO;Piemonte;L629
282;Valperga;Torino;TO;Piemonte;L644
283;Valprato Soana;Torino;TO;Piemonte;B510
284;Varisella;Torino;TO;Piemonte;L685
285;Vauda Canavese;Torino;TO;Piemonte;L698
286;Venaus;Torino;TO;Piemonte;L726
287;Venaria Reale;Torino;TO;Piemonte;L727
288;Verolengo;Torino;TO;Piemonte;L779
289;Verrua Savoia;Torino;TO;Piemonte;L787
290;Vestignè;Torino;TO;Piemonte;L811
291;Vialfrè;Torino;TO;Piemonte;L830
292;Vidracco;Torino;TO;Piemonte;L857
293;Vigone;Torino;TO;Piemonte;L898
294;Villafranca Piemonte;Torino;TO;Piemonte;L948
295;Villanova Canavese;Torino;TO;Piemonte;L982
296;Villarbasse;Torino;TO;Piemonte;M002
297;Villar Dora;Torino;TO;Piemonte;L999
298;Villareggia;Torino;TO;Piemonte;M004
299;Villar Focchiardo;Torino;TO;Piemonte;M007
300;Villar Pellice;Torino;TO;Piemonte;M013
301;Villar Perosa;Torino;TO;Piemonte;M014
302;Villastellone;Torino;TO;Piemonte;M027
303;Vinovo;Torino;TO;Piemonte;M060
304;Virle Piemonte;Torino;TO;Piemonte;M069
305;Vische;Torino;TO;Piemonte;M071
306;Vistrorio;Torino;TO;Piemonte;M080
307;Viù;Torino;TO;Piemonte;M094
308;Volpiano;Torino;TO;Piemonte;M122
309;Volvera;Torino;TO;Piemonte;M133
310;Mappano;Torino;TO;Piemonte;M316
311;Val di Chy;Torino;TO;Piemonte;M405
312;Valchiusa;Torino;TO;Piemonte;M415
313;Alagna Valsesia;Vercelli;VC;Piemonte;A119
314;Albano Vercellese;Vercelli;VC;Piemonte;A130
315;Alice Castello;Vercelli;VC;Piemonte;A198
316;Arborio;Vercelli;VC;Piemonte;A358
317;Asigliano Vercellese;Vercelli;VC;Piemonte;A466
318;Balmuccia;Vercelli;VC;Piemonte;A600
319;Balocco;Vercelli;VC;Piemonte;A601
320;Bianzè;Vercelli;VC;Piemonte;A847
321;Boccioleto;Vercelli;VC;Piemonte;A914
322;Borgo d'Ale;Vercelli;VC;Piemonte;B009
323;Borgosesia;Vercelli;VC;Piemonte;B041
324;Borgo Vercelli;Vercelli;VC;Piemonte;B046
325;Buronzo;Vercelli;VC;Piemonte;B280
326;Campertogno;Vercelli;VC;Piemonte;B505
327;Carcoforo;Vercelli;VC;Piemonte;B752
328;Caresana;Vercelli;VC;Piemonte;B767
329;Caresanablot;Vercelli;VC;Piemonte;B768
330;Carisio;Vercelli;VC;Piemonte;B782
331;Casanova Elvo;Vercelli;VC;Piemonte;B928
332;San Giacomo Vercellese;Vercelli;VC;Piemonte;B952
333;Cervatto;Vercelli;VC;Piemonte;C548
334;Cigliano;Vercelli;VC;Piemonte;C680
335;Civiasco;Vercelli;VC;Piemonte;C757
336;Collobiano;Vercelli;VC;Piemonte;C884
337;Costanzana;Vercelli;VC;Piemonte;D113
338;Cravagliana;Vercelli;VC;Piemonte;D132
339;Crescentino;Vercelli;VC;Piemonte;D154
340;Crova;Vercelli;VC;Piemonte;D187
341;Desana;Vercelli;VC;Piemonte;D281
342;Fobello;Vercelli;VC;Piemonte;D641
343;Fontanetto Po;Vercelli;VC;Piemonte;D676
344;Formigliana;Vercelli;VC;Piemonte;D712
345;Gattinara;Vercelli;VC;Piemonte;D938
346;Ghislarengo;Vercelli;VC;Piemonte;E007
347;Greggio;Vercelli;VC;Piemonte;E163
348;Guardabosone;Vercelli;VC;Piemonte;E237
349;Lamporo;Vercelli;VC;Piemonte;E433
350;Lenta;Vercelli;VC;Piemonte;E528
351;Lignana;Vercelli;VC;Piemonte;E583
352;Livorno Ferraris;Vercelli;VC;Piemonte;E626
353;Lozzolo;Vercelli;VC;Piemonte;E711
354;Mollia;Vercelli;VC;Piemonte;F297
355;Moncrivello;Vercelli;VC;Piemonte;F342
356;Motta de' Conti;Vercelli;VC;Piemonte;F774
357;Olcenengo;Vercelli;VC;Piemonte;G016
358;Oldenico;Vercelli;VC;Piemonte;G018
359;Palazzolo Vercellese;Vercelli;VC;Piemonte;G266
360;Pertengo;Vercelli;VC;Piemonte;G471
361;Pezzana;Vercelli;VC;Piemonte;G528
362;Pila;Vercelli;VC;Piemonte;G666
363;Piode;Vercelli;VC;Piemonte;G685
364;Postua;Vercelli;VC;Piemonte;G940
365;Prarolo;Vercelli;VC;Piemonte;G985
366;Quarona;Vercelli;VC;Piemonte;H108
367;Quinto Vercellese;Vercelli;VC;Piemonte;H132
368;Rassa;Vercelli;VC;Piemonte;H188
369;Rimella;Vercelli;VC;Piemonte;H293
370;Rive;Vercelli;VC;Piemonte;H346
371;Roasio;Vercelli;VC;Piemonte;H365
372;Ronsecco;Vercelli;VC;Piemonte;H549
373;Rossa;Vercelli;VC;Piemonte;H577
374;Rovasenda;Vercelli;VC;Piemonte;H364
375;Salasco;Vercelli;VC;Piemonte;H690
376;Sali Vercellese;Vercelli;VC;Piemonte;H707
377;Saluggia;Vercelli;VC;Piemonte;H725
378;San Germano Vercellese;Vercelli;VC;Piemonte;H861
379;Santhià;Vercelli;VC;Piemonte;I337
380;Scopa;Vercelli;VC;Piemonte;I544
381;Scopello;Vercelli;VC;Piemonte;I545
382;Serravalle Sesia;Vercelli;VC;Piemonte;I663
383;Stroppiana;Vercelli;VC;Piemonte;I984
384;Tricerro;Vercelli;VC;Piemonte;L420
385;Trino;Vercelli;VC;Piemonte;L429
386;Tronzano Vercellese;Vercelli;VC;Piemonte;L451
387;Valduggia;Vercelli;VC;Piemonte;L566
388;Varallo;Vercelli;VC;Piemonte;L669
389;Vercelli;Vercelli;VC;Piemonte;L750
390;Villarboit;Vercelli;VC;Piemonte;M003
391;Villata;Vercelli;VC;Piemonte;M028
392;Vocca;Vercelli;VC;Piemonte;M106
393;Alto Sermenza;Vercelli;VC;Piemonte;M389
394;Cellio con Breia;Vercelli;VC;Piemonte;M398
395;Agrate Conturbia;Novara;NO;Piemonte;A088
396;Ameno;Novara;NO;Piemonte;A264
397;Armeno;Novara;NO;Piemonte;A414
398;Arona;Novara;NO;Piemonte;A429
399;Barengo;Novara;NO;Piemonte;A653
400;Bellinzago Novarese;Novara;NO;Piemonte;A752
401;Biandrate;Novara;NO;Piemonte;A844
402;Boca;Novara;NO;Piemonte;A911
403;Bogogno;Novara;NO;Piemonte;A929
404;Bolzano Novarese;Novara;NO;Piemonte;A953
405;Borgolavezzaro;Novara;NO;Piemonte;B016
406;Borgomanero;Novara;NO;Piemonte;B019
407;Borgo Ticino;Novara;NO;Piemonte;B043
408;Briga Novarese;Novara;NO;Piemonte;B176
409;Briona;Novara;NO;Piemonte;B183
410;Caltignaga;Novara;NO;Piemonte;B431
411;Cameri;Novara;NO;Piemonte;B473
412;Carpignano Sesia;Novara;NO;Piemonte;B823
413;Casalbeltrame;Novara;NO;Piemonte;B864
414;Casaleggio Novara;Novara;NO;Piemonte;B883
415;Casalino;Novara;NO;Piemonte;B897
416;Casalvolone;Novara;NO;Piemonte;B920
417;Castellazzo Novarese;Novara;NO;Piemonte;C149
418;Castelletto sopra Ticino;Novara;NO;Piemonte;C166
419;Cavaglietto;Novara;NO;Piemonte;C364
420;Cavaglio d'Agogna;Novara;NO;Piemonte;C365
421;Cavallirio;Novara;NO;Piemonte;C378
422;Cerano;Novara;NO;Piemonte;C483
423;Colazza;Novara;NO;Piemonte;C829
424;Comignago;Novara;NO;Piemonte;C926
425;Cressa;Novara;NO;Piemonte;D162
426;Cureggio;Novara;NO;Piemonte;D216
427;Divignano;Novara;NO;Piemonte;D309
428;Dormelletto;Novara;NO;Piemonte;D347
429;Fara Novarese;Novara;NO;Piemonte;D492
430;Fontaneto d'Agogna;Novara;NO;Piemonte;D675
431;Galliate;Novara;NO;Piemonte;D872
432;Garbagna Novarese;Novara;NO;Piemonte;D911
433;Gargallo;Novara;NO;Piemonte;D921
434;Ghemme;Novara;NO;Piemonte;E001
435;Gozzano;Novara;NO;Piemonte;E120
436;Granozzo con Monticello;Novara;NO;Piemonte;E143
437;Grignasco;Novara;NO;Piemonte;E177
438;Invorio;Novara;NO;Piemonte;E314
439;Landiona;Novara;NO;Piemonte;E436
440;Lesa;Novara;NO;Piemonte;E544
441;Maggiora;Novara;NO;Piemonte;E803
442;Mandello Vitta;Novara;NO;Piemonte;E880
443;Marano Ticino;Novara;NO;Piemonte;E907
444;Massino Visconti;Novara;NO;Piemonte;F047
445;Meina;Novara;NO;Piemonte;F093
446;Mezzomerico;Novara;NO;Piemonte;F188
447;Miasino;Novara;NO;Piemonte;F191
448;Momo;Novara;NO;Piemonte;F317
449;Nebbiuno;Novara;NO;Piemonte;F859
450;Nibbiola;Novara;NO;Piemonte;F886
451;Novara;Novara;NO;Piemonte;F952
452;Oleggio;Novara;NO;Piemonte;G019
453;Oleggio Castello;Novara;NO;Piemonte;G020
454;Orta San Giulio;Novara;NO;Piemonte;G134
455;Paruzzaro;Novara;NO;Piemonte;G349
456;Pella;Novara;NO;Piemonte;G421
457;Pettenasco;Novara;NO;Piemonte;G520
458;Pisano;Novara;NO;Piemonte;G703
459;Pogno;Novara;NO;Piemonte;G775
460;Pombia;Novara;NO;Piemonte;G809
461;Prato Sesia;Novara;NO;Piemonte;H001
462;Recetto;Novara;NO;Piemonte;H213
463;Romagnano Sesia;Novara;NO;Piemonte;H502
464;Romentino;Novara;NO;Piemonte;H518
465;San Maurizio d'Opaglio;Novara;NO;Piemonte;I025
466;San Nazzaro Sesia;Novara;NO;Piemonte;I052
467;San Pietro Mosezzo;Novara;NO;Piemonte;I116
468;Sillavengo;Novara;NO;Piemonte;I736
469;Sizzano;Novara;NO;Piemonte;I767
470;Soriso;Novara;NO;Piemonte;I857
471;Sozzago;Novara;NO;Piemonte;I880
472;Suno;Novara;NO;Piemonte;L007
473;Terdobbiate;Novara;NO;Piemonte;L104
474;Tornaco;Novara;NO;Piemonte;L223
475;Trecate;Novara;NO;Piemonte;L356
476;Vaprio d'Agogna;Novara;NO;Piemonte;L668
477;Varallo Pombia;Novara;NO;Piemonte;L670
478;Vespolate;Novara;NO;Piemonte;L808
479;Vicolungo;Novara;NO;Piemonte;L847
480;Vinzaglio;Novara;NO;Piemonte;M062
481;Gattico-Veruno;Novara;NO;Piemonte;M416
482;Acceglio;Cuneo;CN;Piemonte;A016
483;Aisone;Cuneo;CN;Piemonte;A113
484;Alba;Cuneo;CN;Piemonte;A124
485;Albaretto della Torre;Cuneo;CN;Piemonte;A139
486;Alto;Cuneo;CN;Piemonte;A238
487;Argentera;Cuneo;CN;Piemonte;A394
488;Arguello;Cuneo;CN;Piemonte;A396
489;Bagnasco;Cuneo;CN;Piemonte;A555
490;Bagnolo Piemonte;Cuneo;CN;Piemonte;A571
491;Baldissero d'Alba;Cuneo;CN;Piemonte;A589
492;Barbaresco;Cuneo;CN;Piemonte;A629
493;Barge;Cuneo;CN;Piemonte;A660
494;Barolo;Cuneo;CN;Piemonte;A671
495;Bastia Mondovì;Cuneo;CN;Piemonte;A709
496;Battifollo;Cuneo;CN;Piemonte;A716
497;Beinette;Cuneo;CN;Piemonte;A735
498;Bellino;Cuneo;CN;Piemonte;A750
499;Belvedere Langhe;Cuneo;CN;Piemonte;A774
500;Bene Vagienna;Cuneo;CN;Piemonte;A779
501;Benevello;Cuneo;CN;Piemonte;A782
502;Bergolo;Cuneo;CN;Piemonte;A798
503;Bernezzo;Cuneo;CN;Piemonte;A805
504;Bonvicino;Cuneo;CN;Piemonte;A979
505;Borgomale;Cuneo;CN;Piemonte;B018
506;Borgo San Dalmazzo;Cuneo;CN;Piemonte;B033
507;Bosia;Cuneo;CN;Piemonte;B079
508;Bossolasco;Cuneo;CN;Piemonte;B084
509;Boves;Cuneo;CN;Piemonte;B101
510;Bra;Cuneo;CN;Piemonte;B111
511;Briaglia;Cuneo;CN;Piemonte;B167
512;Briga Alta;Cuneo;CN;Piemonte;B175
513;Brondello;Cuneo;CN;Piemonte;B200
514;Brossasco;Cuneo;CN;Piemonte;B204
515;Busca;Cuneo;CN;Piemonte;B285
516;Camerana;Cuneo;CN;Piemonte;B467
517;Canale;Cuneo;CN;Piemonte;B573
518;Canosio;Cuneo;CN;Piemonte;B621
519;Caprauna;Cuneo;CN;Piemonte;B692
520;Caraglio;Cuneo;CN;Piemonte;B719
521;Caramagna Piemonte;Cuneo;CN;Piemonte;B720
522;Cardè;Cuneo;CN;Piemonte;B755
523;Carrù;Cuneo;CN;Piemonte;B841
524;Cartignano;Cuneo;CN;Piemonte;B845
525;Casalgrasso;Cuneo;CN;Piemonte;B894
526;Castagnito;Cuneo;CN;Piemonte;C046
527;Casteldelfino;Cuneo;CN;Piemonte;C081
528;Castelletto Stura;Cuneo;CN;Piemonte;C165
529;Castelletto Uzzone;Cuneo;CN;Piemonte;C167
530;Castellinaldo d'Alba;Cuneo;CN;Piemonte;C173
531;Castellino Tanaro;Cuneo;CN;Piemonte;C176
532;Castelmagno;Cuneo;CN;Piemonte;C205
533;Castelnuovo di Ceva;Cuneo;CN;Piemonte;C214
534;Castiglione Falletto;Cuneo;CN;Piemonte;C314
535;Castiglione Tinella;Cuneo;CN;Piemonte;C317
536;Castino;Cuneo;CN;Piemonte;C323
537;Cavallerleone;Cuneo;CN;Piemonte;C375
538;Cavallermaggiore;Cuneo;CN;Piemonte;C376
539;Celle di Macra;Cuneo;CN;Piemonte;C441
540;Centallo;Cuneo;CN;Piemonte;C466
541;Ceresole Alba;Cuneo;CN;Piemonte;C504
542;Cerretto Langhe;Cuneo;CN;Piemonte;C530
543;Cervasca;Cuneo;CN;Piemonte;C547
544;Cervere;Cuneo;CN;Piemonte;C550
545;Ceva;Cuneo;CN;Piemonte;C589
546;Cherasco;Cuneo;CN;Piemonte;C599
547;Chiusa di Pesio;Cuneo;CN;Piemonte;C653
548;Cigliè;Cuneo;CN;Piemonte;C681
